tier,method,random_seed,condition,layer_index,mean_probability_of_roughly_equal_option,items_used
small-instruct,frozen_base,42,diff,0,0.1835,48
small-instruct,frozen_base,42,diff,1,0.1897,48
small-instruct,frozen_base,42,diff,2,0.1928,48
small-instruct,frozen_base,42,diff,3,0.1966,48
small-instruct,frozen_base,42,diff,4,0.1786,48
small-instruct,frozen_base,42,diff,5,0.171,48
small-instruct,frozen_base,42,diff,6,0.219,48
small-instruct,frozen_base,42,diff,7,0.126,48
small-instruct,frozen_base,42,diff,8,0.1131,48
small-instruct,frozen_base,42,diff,9,0.1305,48
small-instruct,frozen_base,42,diff,10,0.16,48
small-instruct,frozen_base,42,diff,11,0.2465,48
small-instruct,frozen_base,42,diff,12,0.219,48
small-instruct,frozen_base,42,diff,13,0.1554,48
small-instruct,frozen_base,42,equal,0,0.1841,48
small-instruct,frozen_base,42,equal,1,0.1899,48
small-instruct,frozen_base,42,equal,2,0.1929,48
small-instruct,frozen_base,42,equal,3,0.1975,48
small-instruct,frozen_base,42,equal,4,0.1782,48
small-instruct,frozen_base,42,equal,5,0.1701,48
small-instruct,frozen_base,42,equal,6,0.2162,48
small-instruct,frozen_base,42,equal,7,0.1264,48
small-instruct,frozen_base,42,equal,8,0.1106,48
small-instruct,frozen_base,42,equal,9,0.1194,48
small-instruct,frozen_base,42,equal,10,0.1458,48
small-instruct,frozen_base,42,equal,11,0.2317,48
small-instruct,frozen_base,42,equal,12,0.1964,48
small-instruct,frozen_base,42,equal,13,0.1491,48
small-instruct,baseline_dart,42,diff,0,0.4722,48
small-instruct,baseline_dart,42,diff,1,0.4665,48
small-instruct,baseline_dart,42,diff,2,0.4661,48
small-instruct,baseline_dart,42,diff,3,0.4616,48
small-instruct,baseline_dart,42,diff,4,0.4579,48
small-instruct,baseline_dart,42,diff,5,0.4427,48
small-instruct,baseline_dart,42,diff,6,0.4505,48
small-instruct,baseline_dart,42,diff,7,0.408,48
small-instruct,baseline_dart,42,diff,8,0.3886,48
small-instruct,baseline_dart,42,diff,9,0.3776,48
small-instruct,baseline_dart,42,diff,10,0.3613,48
small-instruct,baseline_dart,42,diff,11,0.4006,48
small-instruct,baseline_dart,42,diff,12,0.358,48
small-instruct,baseline_dart,42,diff,13,0.2968,48
small-instruct,baseline_dart,42,equal,0,0.4755,48
small-instruct,baseline_dart,42,equal,1,0.4671,48
small-instruct,baseline_dart,42,equal,2,0.4674,48
small-instruct,baseline_dart,42,equal,3,0.4613,48
small-instruct,baseline_dart,42,equal,4,0.4576,48
small-instruct,baseline_dart,42,equal,5,0.441,48
small-instruct,baseline_dart,42,equal,6,0.4495,48
small-instruct,baseline_dart,42,equal,7,0.4072,48
