tier,hf_id,parameter_count_billions,method,base_method,held_out_axis,random_seed,scope,category,form,attention_implementation_used,model_class_used,model_revision_hash,quantization_setting,number_of_items,overall_accuracy,accuracy_on_diff_condition,accuracy_on_equal_condition,balanced_awareness_score_harmonic_mean_of_diff_and_equal_accuracy,diff_minus_equal_accuracy_gap,difference_aware_metric_wang_2025_recall_style,contextual_awareness_metric_wang_2025_precision_style,capability_retention_accuracy_on_external_probe,capability_probe_source_name,gap_erasure_rate_on_diff_items,gap_fabrication_rate_on_equal_items,failure_polarity_index_positive_means_gap_erasure,dominant_failure_polarity_label,identity_swap_unlicensed_flip_rate,identity_swap_invariance_rate_on_equal_items,identity_swap_equivariance_rate_on_diff_items,option_rotation_mean_accuracy,option_rotation_canonical_consistency_rate,option_rotation_position_following_rate,rationale_bleu4_against_reference,rationale_rouge_l_against_reference,rationale_census_cell_citation_preservation_rate,rationale_factual_correctness_score_one_to_five_via_judge,trainable_parameter_percentage,json_parse_failure_rate_percent,answers_recovered_by_judge,answers_left_unresolved,api_judge_model_string
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,graft_proposed_loao_gender,graft_proposed,gender,42,held_out_axis:gender|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.4857,0.1,1.0,0.1818,-0.9,0.1,1.0,0.57,external_probe:cais/mmlu/all/test,0.9,0.0,1.0,gap_erasure_dominant,,,,,,,0.5802,0.6875,0.1786,1.857,0.82095,0.0,0.0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,graft_proposed_loao_landholding,graft_proposed,landholding,42,held_out_axis:landholding|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.5238,0.4088,0.641,0.4992,-0.2322,0.4088,0.5372,0.604,external_probe:cais/mmlu/all/test,0.0,0.359,-1.0,gap_fabrication_dominant,,,,,,,0.8279,0.8822,0.6952,3.129,0.82593,0.0,0.0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,graft_proposed_loao_social_group,graft_proposed,social_group,42,held_out_axis:social_group|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.5082,0.0698,0.901,0.1295,-0.8313,0.0698,0.3871,0.48,external_probe:cais/mmlu/all/test,0.3895,0.099,0.5948,gap_erasure_dominant,,,,,,,0.7154,0.8034,0.5124,3.0,0.82759,0.0,0.0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,reference_vanilla_lora_loao_gender,reference_vanilla_lora,gender,42,held_out_axis:gender|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.4286,0.0,1.0,0.0,-1.0,0.0,,0.58,external_probe:cais/mmlu/all/test,0.95,0.0,1.0,gap_erasure_dominant,,,,,,,,,,,0.37697,0.0,0.0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,reference_vanilla_lora_loao_landholding,reference_vanilla_lora,landholding,42,held_out_axis:landholding|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.5587,0.4906,0.6282,0.5509,-0.1376,0.4906,0.5735,0.6,external_probe:cais/mmlu/all/test,0.0,0.3718,-1.0,gap_fabrication_dominant,,,,,,,,,,,0.37697,0.0,0.0,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,reference_vanilla_lora_loao_social_group,reference_vanilla_lora,social_group,42,held_out_axis:social_group|all,all,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.5604,0.0756,0.9948,0.1405,-0.9192,0.0756,0.9286,0.572,external_probe:cais/mmlu/all/test,0.7965,0.0052,0.987,gap_erasure_dominant,,,,,,,,,,,0.37697,0.0,0.0,0,deepseek:deepseek-chat
broad-instruct,Qwen/Qwen3-4B-Instruct-2507,4.0,graft_proposed_loao_gender,graft_proposed,gender,42,held_out_axis:gender|all,all,all,flash_attention_2,AutoModelForCausalLM,cdbee75f17c01a7cc42f958dc650907174af0554,bf16_full,70,0.5429,0.2,1.0,0.3333,-0.8,0.2,1.0,0.66,external_probe:cais/mmlu/all/test,0.725,0.0,1.0,gap_erasure_dominant,,,,,,,0.6009,0.7082,0.1214,2.143,1.37506,0.0,0.0,0,deepseek:deepseek-chat
broad-instruct,Qwen/Qwen3-4B-Instruct-2507,4.0,graft_proposed_loao_landholding,graft_proposed,landholding,42,held_out_axis:landholding|all,all,all,flash_attention_2,AutoModelForCausalLM,cdbee75f17c01a7cc42f958dc650907174af0554,bf16_full,315,0.5524,0.522,0.5833,0.551,-0.0613,0.522,0.5608,0.672,external_probe:cais/mmlu/all/test,0.0,0.4167,-1.0,gap_fabrication_dominant,,,,,,,0.7436,0.839,0.5511,3.065,1.37228,0.0,0.0,0,deepseek:deepseek-chat
broad-instruct,Qwen/Qwen3-4B-Instruct-2507,4.0,graft_proposed_loao_social_group,graft_proposed,social_group,42,held_out_axis:social_group|all,all,all,flash_attention_2,AutoModelForCausalLM,cdbee75f17c01a7cc42f958dc650907174af0554,bf16_full,364,0.5192,0.0058,0.9792,0.0116,-0.9734,0.0058,0.2,0.674,external_probe:cais/mmlu/all/test,0.9477,0.0208,0.957,gap_erasure_dominant,,,,,,,0.6514,0.7449,0.5055,2.944,1.38615,0.0,0.0,0,deepseek:deepseek-chat
broad-instruct,Qwen/Qwen3-4B-Instruct-2507,4.0,reference_vanilla_lora_loao_gender,reference_vanilla_lora,gender,42,held_out_axis:gender|all,all,all,flash_attention_2,AutoModelForCausalLM,cdbee75f17c01a7cc42f958dc650907174af0554,bf16_full,70,0.4429,0.025,1.0,0.0488,-0.975,0.025,1.0,0.704,external_probe:cais/mmlu/all/test,0.8,0.0,1.0,gap_erasure_dominant,,,,,,,,,,,0.40889,0.0,0.0,0,deepseek:deepseek-chat
