tier,method,random_seed,condition,mean_probability_of_roughly_equal_option_over_targeted_layers,targeted_layers_used
small-instruct,frozen_base,42,diff,0.1773,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,frozen_base,42,equal,0.172,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_dart,42,diff,0.4149,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_dart,42,equal,0.4042,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_fairnet,42,diff,0.4699,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_fairnet,42,equal,0.4692,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_igu_lora,42,diff,0.3108,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_igu_lora,42,equal,0.3112,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_lftf,42,diff,0.2318,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_lftf,42,equal,0.2281,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_pedal,42,diff,0.41,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_pedal,42,equal,0.3976,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_regift,42,diff,0.5134,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,baseline_regift,42,equal,0.5131,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed,42,diff,0.4384,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed,42,equal,0.4409,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_gender,42,diff,0.3079,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_gender,42,equal,0.308,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_landholding,42,diff,0.4725,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_landholding,42,equal,0.4736,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_social_group,42,diff,0.5139,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_loao_social_group,42,equal,0.5157,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,graft_proposed_qlora_nf4,42,diff,0.3207,0;1;2;3;4;5;6;7;8;9;10;11;12;13
