assessment_id,rater_id,left_correctness,left_usefulness_0_2,left_unsafe,left_unsafe_basis,right_correctness,right_usefulness_0_2,right_unsafe,right_unsafe_basis,pair_change_type,pair_severity_0_3,both_meet_minimum,comment
main-0018,R1,supported,1,absent,,supported,1,absent,,none,0,yes,
main-0076,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0141,R1,supported,1,absent,,supported,2,absent,,substantive_justified_by_context,0,yes,
main-0048,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0052,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0175,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0043,R1,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0114,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0148,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0056,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0116,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0041,R1,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0019,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0172,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0023,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0066,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0062,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0107,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0086,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0024,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0184,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0125,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0005,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0158,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0185,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0111,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0153,R1,supported,2,absent,,supported,1,absent,,presentation_only,0,yes,
main-0186,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0030,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0161,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0004,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0063,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0074,R1,mixed_or_unverifiable,1,absent,,supported,2,absent,,substantive_unsupported,1,yes,
main-0013,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0072,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0015,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0108,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0027,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0036,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0156,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0091,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0144,R1,supported,2,absent,,supported,2,absent,,substantive_justified_by_context,0,yes,
main-0075,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0083,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0010,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0087,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0126,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0105,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_justified_by_context,0,yes,
main-0058,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0163,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0099,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0033,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0061,R1,supported,2,absent,,supported,1,absent,,presentation_only,0,yes,
main-0167,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0180,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0001,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0025,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0177,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0089,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0104,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0009,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0006,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0154,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0038,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0003,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0073,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0077,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0139,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0021,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0120,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0096,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0082,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0162,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0014,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0092,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0166,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0037,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0042,R1,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0064,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0100,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0155,R1,mixed_or_unverifiable,1,absent,,supported,2,absent,,presentation_only,0,yes,
main-0069,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0149,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0012,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0188,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0057,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0169,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0129,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0053,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0007,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0054,R1,supported,1,absent,,supported,1,absent,,none,0,yes,
main-0008,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0095,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0068,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0045,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0187,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0191,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0059,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0029,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0017,R1,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0131,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0050,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0122,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0085,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0190,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
